run num	std dev	max pcr	min pcr	avg pcr	total pcr	k	target pcr
0	21.68845844146473	99.40033813680049	20.59500047108364	72.58176256420631	1306.4717261557137	5	0.0	
1	18.241353031378168	68.50770585669706	9.718275675752958	48.05165810579656	912.9815040101347	5	0.0	
2	22.878616692945357	107.69332688220855	37.02611481902231	84.31839941299826	1517.7311894339687	5	0.0	
0	44.898241499655356	176.95911195066117	25.14073589904798	97.98233817546681	2351.5761162112035	5	0.0	
1	40.53627438489422	164.5873857371521	7.111016554245235	112.08458920979493	2802.114730244873	5	0.0	
2	18.502179618597346	77.76091086693795	4.039671992157651	54.60123735439455	1419.6321712142583	5	0.0	
0	22.0090264060561	99.76172808198882	24.954299564781618	65.23351351124623	2022.2389188486331	5	0.0	
1	23.501481624616083	83.39488430798973	15.203057839591787	55.99537652597712	1847.847425357245	5	0.0	
2	27.945404185949865	94.93501193678071	17.34451641067686	55.70999196692112	2061.2697027760814	5	0.0	
0	40.44442718277572	134.21855709723397	2.0178223406379763	56.68538418848542	2267.415367539417	5	0.0	
1	26.68598184105197	90.26135933083611	1.3643067642936875	50.92309773486977	1986.000811659921	5	0.0	
2	19.695000591924803	78.92104510724364	1.432391513766843	44.696157296119075	1832.5424491408821	5	0.0	
0	21.144064109717654	84.71407973437857	11.847141123573868	50.533177669101704	2375.05935044778	5	0.0	
1	22.939301281765456	95.20569908921185	10.973490543756217	46.89482637927719	2157.1620134467507	5	0.0	
2	19.624299841083282	75.95417976504798	5.457960310605502	38.988876365008046	1910.4549418853944	5	0.0	
0	20.82417976822845	79.73873596267433	4.379468160010228	38.07699876623535	2018.0809346104736	5	0.0	
1	20.134589741526437	76.15437350415417	4.583845278942126	38.6246070618524	2085.72878134003	5	0.0	
2	14.535986991966825	51.43546813237352	1.1924322002925591	32.703216517865435	1733.270475446868	5	0.0	
0	21.79777533542358	78.1587396237287	0.29158541374110986	38.19126841097561	2444.241178302439	5	0.0	
1	20.063727219206083	80.96755780198295	1.9440184812331882	42.18719611928793	2489.044571037988	5	0.0	
2	27.47284119858319	86.6491235259061	0.11562674887949047	45.11050687074308	2571.2988916323557	5	0.0	
0	16.7622625443975	65.57755092683927	2.1643955908398183	38.972164478799506	2689.0793490371657	5	0.0	
1	16.067390131633964	62.25037673191301	3.846668585533827	30.119546758219606	2168.6073665918116	5	0.0	
2	10.289211244869996	45.89948228809439	0.008971239107222884	26.055002757890655	1928.0702040839085	5	0.0	
0	13.771013381575377	83.24057337778666	3.9367583587279067	30.560706305015835	2230.931560266156	5	0.0	
1	14.549871222327543	67.3494179746826	0.0018643322182717932	27.871678809437885	2118.2475895172793	5	0.0	
2	25.11187573398646	117.88161330710054	1.8192784370519635	37.1469936971366	2563.1425651024256	5	0.0	
0	33.248197356106324	146.6222988689102	44.00853768730525	102.95213085321124	1956.0904862110135	5	0.0	
1	36.13406130596617	194.64317900818034	71.38940416016617	150.38177021519925	2706.871863873587	5	0.0	
2	20.00053283673491	77.05262129481656	21.984057194699094	51.53931981445089	927.707756660116	5	0.0	
0	38.82909992953013	111.50871797952655	5.520076987539148	65.89097164437456	1779.056234398113	5	0.0	
1	34.750036851356356	143.415088977684	1.1195535225715543	81.68229407228063	2042.0573518070157	5	0.0	
2	43.60027615185728	139.9024330912088	11.108966129135961	80.80094017028759	2020.0235042571899	5	0.0	
0	30.913873853179922	112.86961712522692	2.650055369075745	69.38287631626714	2081.4862894880143	5	0.0	
1	44.12546677237314	184.43632749272297	43.3949427090468	96.42264099093953	2989.101870719125	5	0.0	
2	22.019063683576793	80.93372050831157	18.086407013031877	56.251947973294094	1800.062335145411	5	0.0	
0	23.34795115036949	83.73921239317339	5.904733968515818	49.89522463465524	2045.704210020865	5	0.0	
1	31.027580182613402	97.67051084089347	0.4566770955569623	62.976568299340215	2330.133027075588	5	0.0	
2	24.914711023421415	100.35139683339466	5.304203364441326	63.36950194919857	2534.780077967943	5	0.0	
0	23.641014608961417	108.41863215587298	7.344002755610451	53.76796905906824	2473.3265767171392	5	0.0	
1	20.512761181529832	82.0363416107537	0.4877439454607925	44.798910524932516	2195.1466157216933	5	0.0	
2	23.162240963357224	94.06326935550005	6.506833597626455	43.74309771383273	2055.9255925501384	5	0.0	
